seed,w,stage,concordance_selfref_at_stage_start,jaccard_A_at_stage_start,agree_frontier_label,agree_past_label,agree_core_label,n_nodes,symdiff_nodes_AB,trunk_common
7,1,5,1.0,nan,1.0,1.0,1.0,110,0,1
7,1,6,1.0,nan,1.0,1.0,1.0,112,0,1
7,1,7,1.0,nan,1.0,1.0,1.0,115,0,1
7,1,8,1.0,nan,1.0,1.0,1.0,117,0,1
7,1,9,1.0,nan,1.0,1.0,1.0,118,0,1
7,1,10,1.0,nan,1.0,1.0,1.0,121,0,1
7,1,11,1.0,nan,1.0,1.0,1.0,123,0,1
7,1,12,1.0,nan,1.0,1.0,1.0,125,0,1
7,1,13,1.0,nan,1.0,1.0,1.0,128,0,1
8,1,0,0.9333333333333333,0.0,0.5714285714285714,1.0,1.0,60,0,1
8,1,1,1.0,nan,0.4666666666666667,1.0,1.0,65,0,1
8,1,2,0.9565217391304348,0.0,0.8125,1.0,1.0,74,0,1
8,1,3,0.9642857142857143,0.6666666666666666,0.6875,1.0,1.0,84,0,1
8,1,4,1.0,1.0,0.9333333333333333,1.0,1.0,89,0,1
8,1,5,1.0,1.0,1.0,1.0,1.0,95,0,1
8,1,6,1.0,nan,1.0,1.0,1.0,100,0,1
8,1,7,1.0,nan,1.0,1.0,1.0,103,0,1
8,1,8,1.0,nan,1.0,1.0,1.0,104,0,1
8,1,9,1.0,nan,1.0,1.0,1.0,107,0,1
8,1,10,1.0,nan,1.0,1.0,1.0,109,0,1
8,1,11,1.0,nan,1.0,1.0,1.0,110,0,1
8,1,12,1.0,nan,1.0,1.0,1.0,111,0,1
8,1,13,1.0,nan,1.0,1.0,1.0,112,0,1
9,1,0,0.8666666666666667,0.3333333333333333,0.14285714285714285,nan,nan,60,0,1
9,1,1,0.7272727272727273,0.14285714285714285,0.4117647058823529,1.0,1.0,71,0,1
9,1,2,0.9545454545454546,0.0,0.5333333333333333,1.0,1.0,73,0,1
9,1,3,0.8636363636363636,0.0,0.5833333333333334,1.0,1.0,76,0,1
9,1,4,0.9090909090909091,0.0,0.8181818181818182,1.0,1.0,77,0,1
9,1,5,1.0,nan,0.6666666666666666,1.0,1.0,80,0,1
9,1,6,0.92,0.0,0.6666666666666666,1.0,1.0,82,0,1
9,1,7,0.9230769230769231,0.0,0.8333333333333334,1.0,1.0,84,0,1
9,1,8,1.0,nan,0.6666666666666666,1.0,1.0,86,0,1
9,1,9,0.9259259259259259,0.0,0.8181818181818182,1.0,1.0,87,0,1
9,1,10,0.9375,0.0,1.0,1.0,1.0,96,0,1
9,1,11,1.0,nan,0.8181818181818182,1.0,1.0,97,0,1
9,1,12,0.9375,0.0,0.8,1.0,1.0,98,0,1
9,1,13,0.9375,0.0,1.0,1.0,1.0,99,0,1
10,1,0,0.8666666666666667,0.0,0.6428571428571429,nan,nan,60,0,1
10,1,1,0.875,0.0,0.5,1.0,1.0,62,0,1
10,1,2,0.9444444444444444,0.0,0.7857142857142857,1.0,1.0,66,0,1
10,1,3,0.7619047619047619,0.0,0.75,1.0,1.0,70,0,1
10,1,4,0.9090909090909091,0.0,0.75,1.0,1.0,72,0,1
10,1,5,0.9565217391304348,0.5,0.8125,1.0,1.0,74,0,1
10,1,6,1.0,1.0,0.9411764705882353,1.0,1.0,87,0,1
10,1,7,1.0,nan,1.0,1.0,1.0,105,0,1
10,1,8,1.0,1.0,1.0,1.0,1.0,121,0,1
10,1,9,1.0,1.0,1.0,1.0,1.0,130,0,1
10,1,10,1.0,nan,1.0,1.0,1.0,138,0,1
10,1,11,1.0,1.0,1.0,1.0,1.0,146,0,1
10,1,12,1.0,1.0,1.0,1.0,1.0,149,0,1
10,1,13,1.0,nan,1.0,1.0,1.0,153,0,1
11,1,0,1.0,nan,0.5714285714285714,1.0,1.0,60,0,1
11,1,1,0.9333333333333333,0.5,0.5384615384615384,1.0,1.0,61,0,1
11,1,2,1.0,nan,0.6153846153846154,1.0,1.0,63,0,1
11,1,3,0.8947368421052632,0.0,0.7692307692307693,1.0,1.0,69,0,1
11,1,4,0.9047619047619048,0.0,0.6153846153846154,1.0,1.0,73,0,1
11,1,5,0.9047619047619048,0.0,0.6666666666666666,1.0,1.0,74,0,1
11,1,6,0.9545454545454546,0.0,0.6666666666666666,1.0,1.0,76,0,1
11,1,7,0.9583333333333334,0.0,0.6923076923076923,1.0,1.0,79,0,1
11,1,8,0.8846153846153846,0.0,0.6428571428571429,1.0,1.0,82,0,1
11,1,9,0.8,0.0,0.5625,1.0,1.0,88,0,1
11,1,10,0.8,0.0,0.7333333333333333,1.0,1.0,89,0,1
11,1,11,1.0,nan,1.0,1.0,1.0,92,0,1
11,1,12,1.0,nan,1.0,1.0,1.0,94,0,1
11,1,13,1.0,nan,1.0,1.0,1.0,95,0,1
12,1,0,0.7333333333333333,0.0,0.6428571428571429,nan,nan,60,0,1
12,1,1,0.8333333333333334,0.0,0.75,1.0,1.0,76,0,1
12,1,2,0.7428571428571429,0.0,0.9473684210526315,1.0,1.0,95,0,1
12,1,3,1.0,1.0,0.8,1.0,1.0,104,0,1
12,1,4,0.8837209302325582,0.0,0.8095238095238095,1.0,1.0,109,0,1
12,1,5,0.8888888888888888,0.0,0.9545454545454546,1.0,1.0,112,0,1
12,1,6,1.0,1.0,0.8181818181818182,1.0,1.0,114,0,1
12,1,7,0.9,0.0,0.84,1.0,1.0,119,0,1
12,1,8,0.9019607843137255,0.0,0.9583333333333334,1.0,1.0,122,0,1
12,1,9,1.0,nan,1.0,1.0,1.0,123,0,1
12,1,10,0.9803921568627451,0.0,1.0,1.0,1.0,124,0,1
12,1,11,0.9811320754716981,0.0,0.9565217391304348,1.0,1.0,127,0,1
12,1,12,1.0,nan,1.0,1.0,1.0,129,0,1
12,1,13,0.9821428571428571,0.0,1.0,1.0,1.0,132,0,1
13,1,0,1.0,nan,0.7142857142857143,nan,nan,60,0,1
13,1,1,0.8,0.0,0.75,1.0,1.0,68,0,1
13,1,2,0.7619047619047619,0.0,0.75,1.0,1.0,70,0,1
13,1,3,0.7619047619047619,0.0,0.6666666666666666,1.0,1.0,71,0,1
13,1,4,0.8095238095238095,0.0,0.7142857142857143,1.0,1.0,72,0,1
13,1,5,0.6538461538461539,0.0,0.7647058823529411,1.0,1.0,79,0,1
13,1,6,0.8387096774193549,0.4444444444444444,0.5714285714285714,1.0,1.0,85,0,1
13,1,7,0.7777777777777778,0.3333333333333333,0.6666666666666666,1.0,1.0,92,0,1
13,1,8,0.775,0.0,0.8461538461538461,1.0,1.0,98,0,1
13,1,9,0.8809523809523809,0.4444444444444444,0.6538461538461539,1.0,1.0,102,0,1
13,1,10,0.8095238095238095,0.0,0.68,1.0,1.0,103,0,1
13,1,11,0.9183673469387755,0.0,1.0,1.0,1.0,115,0,1
13,1,12,1.0,1.0,0.8666666666666667,1.0,1.0,122,0,1
13,1,13,0.9354838709677419,0.0,0.8857142857142857,1.0,1.0,133,0,1
14,1,0,0.9333333333333333,0.0,0.9285714285714286,1.0,1.0,60,0,1
14,1,1,1.0,1.0,0.8571428571428571,1.0,1.0,66,0,1
14,1,2,1.0,nan,1.0,1.0,1.0,72,0,1
14,1,3,1.0,nan,1.0,1.0,1.0,77,0,1
14,1,4,1.0,nan,1.0,1.0,1.0,82,0,1
14,1,5,1.0,1.0,1.0,1.0,1.0,84,0,1
14,1,6,1.0,1.0,1.0,1.0,1.0,86,0,1
14,1,7,1.0,nan,1.0,1.0,1.0,92,0,1
14,1,8,1.0,1.0,1.0,1.0,1.0,104,0,1
14,1,9,1.0,1.0,1.0,1.0,1.0,110,0,1
14,1,10,1.0,1.0,1.0,1.0,1.0,117,0,1
14,1,11,1.0,1.0,1.0,1.0,1.0,125,0,1
14,1,12,1.0,1.0,1.0,1.0,1.0,131,0,1
14,1,13,1.0,1.0,1.0,1.0,1.0,132,0,1
15,1,0,1.0,nan,1.0,1.0,1.0,60,0,1
15,1,1,1.0,1.0,1.0,1.0,1.0,62,0,1
15,1,2,1.0,1.0,1.0,1.0,1.0,69,0,1
15,1,3,0.9259259259259259,0.0,1.0,1.0,1.0,82,0,1
15,1,4,1.0,nan,1.0,1.0,1.0,97,0,1
15,1,5,1.0,1.0,1.0,1.0,1.0,101,0,1
15,1,6,1.0,1.0,1.0,1.0,1.0,102,0,1
15,1,7,1.0,nan,1.0,1.0,1.0,103,0,1
15,1,8,1.0,1.0,1.0,1.0,1.0,108,0,1
15,1,9,1.0,1.0,1.0,1.0,1.0,112,0,1
15,1,10,1.0,nan,1.0,1.0,1.0,113,0,1
15,1,11,1.0,1.0,1.0,1.0,1.0,114,0,1
15,1,12,1.0,1.0,1.0,1.0,1.0,116,0,1
15,1,13,1.0,nan,1.0,1.0,1.0,118,0,1
16,1,0,0.8,0.0,0.5714285714285714,nan,nan,60,0,1
16,1,1,0.6875,0.0,0.6428571428571429,1.0,1.0,62,0,1
16,1,2,0.8333333333333334,0.0,0.6666666666666666,1.0,1.0,65,0,1
16,1,3,0.85,0.25,0.8125,1.0,1.0,68,0,1
16,1,4,0.9545454545454546,0.0,0.8823529411764706,1.0,1.0,71,0,1
16,1,5,0.9130434782608695,0.0,0.9411764705882353,1.0,1.0,73,0,1
16,1,6,0.9615384615384616,0.0,0.8947368421052632,1.0,1.0,77,0,1
16,1,7,0.9629629629629629,0.0,0.8947368421052632,1.0,1.0,79,0,1
16,1,8,1.0,1.0,0.9473684210526315,1.0,1.0,83,0,1
16,1,9,1.0,1.0,1.0,1.0,1.0,101,0,1
16,1,10,1.0,1.0,1.0,1.0,1.0,107,0,1
16,1,11,1.0,1.0,1.0,1.0,1.0,111,0,1
16,1,12,1.0,nan,1.0,1.0,1.0,115,0,1
16,1,13,1.0,1.0,1.0,1.0,1.0,117,0,1
17,1,0,0.8666666666666667,0.0,0.7142857142857143,1.0,1.0,60,0,1
17,1,1,0.8260869565217391,0.2,0.625,1.0,1.0,74,0,1
17,1,2,0.9375,0.6666666666666666,0.7,1.0,1.0,88,0,1
17,1,3,0.9428571428571428,0.6666666666666666,0.6842105263157895,1.0,1.0,95,0,1
17,1,4,0.9444444444444444,0.0,0.6842105263157895,1.0,1.0,97,0,1
17,1,5,0.9743589743589743,0.8,0.9523809523809523,1.0,1.0,101,0,1
17,1,6,1.0,1.0,1.0,1.0,1.0,103,0,1
17,1,7,1.0,nan,1.0,1.0,1.0,106,0,1
17,1,8,0.9130434782608695,0.5,1.0,1.0,1.0,111,0,1
17,1,9,1.0,1.0,1.0,1.0,1.0,113,0,1
17,1,10,1.0,nan,1.0,1.0,1.0,116,0,1
17,1,11,1.0,1.0,1.0,1.0,1.0,118,0,1
17,1,12,1.0,1.0,1.0,1.0,1.0,120,0,1
17,1,13,1.0,nan,1.0,1.0,1.0,121,0,1
18,1,0,0.9333333333333333,0.0,0.5,1.0,1.0,60,0,1
18,1,1,0.9473684210526315,0.5,0.4666666666666667,1.0,1.0,67,0,1
18,1,2,0.8695652173913043,0.0,0.3333333333333333,1.0,1.0,75,0,1
18,1,3,0.8928571428571429,0.0,0.75,1.0,1.0,84,0,1
18,1,4,0.8157894736842105,0.0,0.8181818181818182,1.0,1.0,98,0,1
18,1,5,0.9318181818181818,0.0,0.8260869565217391,1.0,1.0,109,0,1
18,1,6,0.9423076923076923,0.0,0.8518518518518519,1.0,1.0,121,0,1
18,1,7,0.9454545454545454,0.0,0.8620689655172413,1.0,1.0,125,0,1
18,1,8,0.9454545454545454,0.0,0.8571428571428571,1.0,1.0,126,0,1
18,1,9,0.9473684210526315,0.25,0.8620689655172413,1.0,1.0,129,0,1
18,1,10,0.9137931034482759,0.0,0.8620689655172413,1.0,1.0,131,0,1
18,1,11,0.9310344827586207,0.0,0.8928571428571429,1.0,1.0,132,0,1
18,1,12,0.8870967741935484,0.125,0.8064516129032258,1.0,1.0,137,0,1
