seed,w,stage,n_nodes_A,n_nodes_B,symdiff_nodes_AB,trunk_common,jaccard_A,one_minus_J,concordance,counterfactual_A_symdiff_size,shared_graph_object
6,2,8,143,143,0,1,nan,nan,1.0,0,1
6,2,9,149,149,0,1,nan,nan,1.0,0,1
6,2,10,157,157,0,1,nan,nan,1.0,0,1
6,2,11,159,159,0,1,nan,nan,1.0,0,1
6,2,12,163,163,0,1,nan,nan,1.0,0,1
6,2,13,164,164,0,1,nan,nan,1.0,0,1
6,2,14,167,167,0,1,nan,nan,1.0,0,1
6,2,15,169,169,0,1,nan,nan,1.0,0,1
6,2,16,171,171,0,1,nan,nan,1.0,0,1
6,2,17,172,172,0,1,nan,nan,1.0,0,1
6,2,18,175,175,0,1,nan,nan,1.0,0,1
6,2,19,178,178,0,1,nan,nan,1.0,0,1
7,2,0,60,60,0,1,0.0,1.0,0.6666666666666666,5,1
7,2,1,66,66,0,1,0.5,0.5,0.9444444444444444,1,1
7,2,2,73,73,0,1,nan,nan,1.0,0,1
7,2,3,87,87,0,1,0.0,1.0,0.9310344827586207,2,1
7,2,4,100,100,0,1,nan,nan,1.0,0,1
7,2,5,110,110,0,1,nan,nan,1.0,0,1
7,2,6,112,112,0,1,nan,nan,1.0,0,1
7,2,7,115,115,0,1,nan,nan,1.0,0,1
7,2,8,117,117,0,1,nan,nan,1.0,0,1
7,2,9,118,118,0,1,nan,nan,1.0,0,1
7,2,10,121,121,0,1,nan,nan,1.0,0,1
7,2,11,123,123,0,1,nan,nan,1.0,0,1
7,2,12,125,125,0,1,nan,nan,1.0,0,1
7,2,13,128,128,0,1,nan,nan,1.0,0,1
7,2,14,129,129,0,1,nan,nan,1.0,0,1
7,2,15,132,132,0,1,nan,nan,1.0,0,1
7,2,16,133,133,0,1,nan,nan,1.0,0,1
7,2,17,135,135,0,1,nan,nan,1.0,0,1
7,2,18,136,136,0,1,nan,nan,1.0,0,1
7,2,19,139,139,0,1,nan,nan,1.0,0,1
8,2,0,60,60,0,1,0.0,1.0,0.8,3,1
8,2,1,65,65,0,1,0.0,1.0,0.9444444444444444,1,1
8,2,2,74,74,0,1,0.0,1.0,0.9130434782608695,2,1
8,2,3,84,84,0,1,1.0,0.0,1.0,0,1
8,2,4,89,89,0,1,1.0,0.0,1.0,0,1
8,2,5,95,95,0,1,1.0,0.0,1.0,0,1
8,2,6,100,100,0,1,nan,nan,1.0,0,1
8,2,7,103,103,0,1,nan,nan,1.0,0,1
8,2,8,104,104,0,1,nan,nan,1.0,0,1
8,2,9,107,107,0,1,nan,nan,1.0,0,1
8,2,10,109,109,0,1,nan,nan,1.0,0,1
8,2,11,110,110,0,1,nan,nan,1.0,0,1
8,2,12,111,111,0,1,nan,nan,1.0,0,1
8,2,13,112,112,0,1,nan,nan,1.0,0,1
8,2,14,113,113,0,1,nan,nan,1.0,0,1
8,2,15,117,117,0,1,nan,nan,1.0,0,1
8,2,16,119,119,0,1,nan,nan,1.0,0,1
8,2,17,123,123,0,1,nan,nan,1.0,0,1
8,2,18,126,126,0,1,nan,nan,1.0,0,1
8,2,19,127,127,0,1,nan,nan,1.0,0,1
9,2,0,60,60,0,1,0.25,0.75,0.8,3,1
9,2,1,71,71,0,1,0.375,0.625,0.7727272727272727,5,1
9,2,2,73,73,0,1,0.0,1.0,0.7727272727272727,5,1
9,2,3,76,76,0,1,0.0,1.0,0.9090909090909091,2,1
9,2,4,77,77,0,1,0.0,1.0,0.9090909090909091,2,1
9,2,5,80,80,0,1,0.0,1.0,0.9166666666666666,2,1
9,2,6,82,82,0,1,0.0,1.0,0.92,2,1
9,2,7,84,84,0,1,0.0,1.0,0.9230769230769231,2,1
9,2,8,86,86,0,1,0.0,1.0,0.9259259259259259,2,1
9,2,9,87,87,0,1,0.0,1.0,0.9259259259259259,2,1
9,2,10,96,96,0,1,0.0,1.0,0.9375,2,1
9,2,11,97,97,0,1,0.0,1.0,0.9375,2,1
9,2,12,98,98,0,1,0.0,1.0,0.9375,2,1
9,2,13,99,99,0,1,0.0,1.0,0.9375,2,1
9,2,14,101,101,0,1,0.0,1.0,0.9393939393939394,2,1
9,2,15,102,102,0,1,0.0,1.0,0.9393939393939394,2,1
9,2,16,107,107,0,1,0.0,1.0,0.9459459459459459,2,1
9,2,17,108,108,0,1,0.0,1.0,0.9459459459459459,2,1
9,2,18,109,109,0,1,0.0,1.0,0.9459459459459459,2,1
9,2,19,112,112,0,1,0.0,1.0,0.9487179487179487,2,1
10,2,0,60,60,0,1,0.0,1.0,0.6666666666666666,5,1
10,2,1,62,62,0,1,0.0,1.0,0.6875,5,1
10,2,2,66,66,0,1,0.0,1.0,0.7222222222222222,5,1
10,2,3,70,70,0,1,0.0,1.0,0.7619047619047619,5,1
10,2,4,72,72,0,1,0.0,1.0,0.7727272727272727,5,1
10,2,5,74,74,0,1,0.25,0.75,0.8695652173913043,3,1
10,2,6,87,87,0,1,1.0,0.0,1.0,0,1
10,2,7,105,105,0,1,nan,nan,1.0,0,1
10,2,8,121,121,0,1,1.0,0.0,1.0,0,1
10,2,9,130,130,0,1,1.0,0.0,1.0,0,1
10,2,10,138,138,0,1,nan,nan,1.0,0,1
10,2,11,146,146,0,1,1.0,0.0,1.0,0,1
10,2,12,149,149,0,1,1.0,0.0,1.0,0,1
10,2,13,153,153,0,1,nan,nan,1.0,0,1
10,2,14,155,155,0,1,1.0,0.0,1.0,0,1
10,2,15,159,159,0,1,1.0,0.0,1.0,0,1
10,2,16,160,160,0,1,nan,nan,1.0,0,1
10,2,17,162,162,0,1,1.0,0.0,1.0,0,1
10,2,18,164,164,0,1,1.0,0.0,1.0,0,1
10,2,19,166,166,0,1,nan,nan,1.0,0,1
11,2,0,60,60,0,1,0.6666666666666666,0.33333333333333337,0.9333333333333333,1,1
11,2,1,61,61,0,1,0.6666666666666666,0.33333333333333337,0.9333333333333333,1,1
11,2,2,63,63,0,1,0.0,1.0,0.9375,1,1
11,2,3,69,69,0,1,0.0,1.0,0.7894736842105263,4,1
11,2,4,73,73,0,1,0.0,1.0,0.8095238095238095,4,1
